Sample in Buffer,Sample in Window,TRIGGER,design_1_i/NV_nvdla_wrapper_0_dla_intr,design_1_i/tdc_bank_0_data_o[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,OCTAL
892,892,0,0,00000000172
893,893,0,0,00000000201
894,894,0,0,00000000201
895,895,0,0,00000000204
896,896,0,0,00000000152
897,897,0,0,00000000155
898,898,0,0,00000000153
899,899,0,0,00000000172
900,900,0,0,00000000172
901,901,0,0,00000000173
902,902,0,0,00000000211
903,903,0,0,00000000153
904,904,0,0,00000000152
905,905,0,0,00000000164
906,906,0,0,00000000175
907,907,0,0,00000000172
908,908,0,0,00000000177
909,909,0,0,00000000204
910,910,0,0,00000000152
911,911,0,0,00000000153
912,912,0,0,00000000153
913,913,0,0,00000000170
914,914,0,0,00000000175
915,915,0,0,00000000174
916,916,0,0,00000000207
917,917,0,0,00000000147
918,918,0,0,00000000153
919,919,0,0,00000000160
920,920,0,0,00000000170
921,921,0,0,00000000176
922,922,0,0,00000000171
923,923,0,0,00000000205
924,924,0,0,00000000153
925,925,0,0,00000000152
926,926,0,0,00000000161
927,927,0,0,00000000175
928,928,0,0,00000000172
929,929,0,0,00000000175
930,930,0,0,00000000201
931,931,0,0,00000000146
932,932,0,0,00000000155
933,933,0,0,00000000154
934,934,0,0,00000000170
935,935,0,0,00000000173
936,936,0,0,00000000201
937,937,0,0,00000000207
938,938,0,0,00000000145
939,939,0,0,00000000151
940,940,0,0,00000000153
941,941,0,0,00000000171
942,942,0,0,00000000174
943,943,0,0,00000000170
944,944,0,0,00000000203
945,945,0,0,00000000154
946,946,0,0,00000000153
947,947,0,0,00000000155
948,948,0,0,00000000175
949,949,0,0,00000000171
950,950,0,0,00000000175
951,951,0,0,00000000205
952,952,0,0,00000000150
953,953,0,0,00000000153
954,954,0,0,00000000153
955,955,0,0,00000000173
956,956,0,0,00000000170
957,957,0,0,00000000175
958,958,0,0,00000000177
959,959,0,0,00000000152
960,960,0,0,00000000153
961,961,0,0,00000000153
962,962,0,0,00000000164
963,963,0,0,00000000173
964,964,0,0,00000000177
965,965,0,0,00000000205
966,966,0,0,00000000152
967,967,0,0,00000000151
968,968,0,0,00000000156
969,969,0,0,00000000172
970,970,0,0,00000000172
971,971,0,0,00000000175
972,972,0,0,00000000204
973,973,0,0,00000000151
974,974,0,0,00000000151
975,975,0,0,00000000153
976,976,0,0,00000000165
977,977,0,0,00000000176
978,978,0,0,00000000171
979,979,0,0,00000000206
980,980,0,0,00000000145
981,981,0,0,00000000153
982,982,0,0,00000000157
983,983,0,0,00000000171
984,984,0,0,00000000174
985,985,0,0,00000000174
986,986,0,0,00000000207
987,987,0,0,00000000153
988,988,0,0,00000000147
989,989,0,0,00000000160
990,990,0,0,00000000174
991,991,0,0,00000000172
992,992,0,0,00000000200
993,993,0,0,00000000205
994,994,0,0,00000000152
995,995,0,0,00000000154
996,996,0,0,00000000154
997,997,0,0,00000000172
998,998,0,0,00000000174
999,999,0,0,00000000173
1000,1000,0,0,00000000205
1001,1001,0,0,00000000152
1002,1002,0,0,00000000152
1003,1003,0,0,00000000152
1004,1004,0,0,00000000171
1005,1005,0,0,00000000175
1006,1006,0,0,00000000174
1007,1007,0,0,00000000203
1008,1008,0,0,00000000155
1009,1009,0,0,00000000152
1010,1010,0,0,00000000163
1011,1011,0,0,00000000172
1012,1012,0,0,00000000167
1013,1013,0,0,00000000177
